Ring;Nimi;Aeg;Sektor1;Sektor2;Sektor3;Viga
1;Morten;74.541;23.186;25.256;26.099;False
2;Morten;74.194;23.771;25.666;24.757;False
3;Morten;72.946;23.481;24.756;24.709;False
4;Morten;76.659;26.667;26.122;23.87;False
5;Morten;75.585;26.649;25.401;23.535;False
6;Morten;75.739;25.038;24.793;25.908;False
7;Morten;75.956;23.201;26.705;26.05;False
8;Morten;74.501;23.645;26.049;24.807;False
9;Morten;167.34799999999998;53.041;56.154;58.153;True
10;Morten;74.044;24.586;24.886;24.572;False
1;Madis;72.986;23.355;25.288;24.343;False
2;Madis;76.72800000000001;26.145;24.26;26.323;False
3;Madis;73.88;24.453;24.948;24.479;False
4;Madis;73.439;23.279;25.749;24.411;False
5;Madis;75.401;25.801;25.597;24.003;False
6;Madis;76.409;26.407;23.945;26.057;False
7;Madis;72.874;23.241;24.481;25.152;False
8;Madis;70.023;23.623;23.36;23.04;False
9;Madis;169.433;72.327;47.441;49.665;True
10;Madis;71.755;24.905;23.328;23.522;False
1;Rannar;75.85;25.2;24.221;26.429;False
2;Rannar;80.214;26.601;26.724;26.889;False
3;Rannar;74.91799999999999;23.712;26.391;24.815;False
4;Rannar;72.471;23.779;24.54;24.152;False
5;Rannar;72.99799999999999;24.05;24.243;24.705;False
6;Rannar;74.34100000000001;25.586;24.646;24.109;False
7;Rannar;73.771;24.24;25.81;23.721;False
8;Rannar;76.36500000000001;25.671;25.896;24.798000000000002;False
9;Rannar;75.265;26.721;23.907;24.637;False
10;Rannar;76.62;24.395;26.913;25.312;False
1;Rasmus;77.596;24.98;25.632;26.984;False
2;Rasmus;74.432;25.953;23.214;25.265;False
3;Rasmus;150.377;67.185;45.343;37.849;True
4;Rasmus;205.69599999999997;67.829;69.162;68.705;True
5;Rasmus;174.244;52.102;70.452;51.69;True
6;Rasmus;70.411;23.319;23.08;24.012;False
7;Rasmus;168.55200000000002;50.242;76.968;41.342;True
8;Rasmus;73.364;24.778;23.118;25.468;False
9;Rasmus;78.571;26.197;25.782;26.592;False
10;Rasmus;73.087;23.134;26.085;23.868;False
1;Sten;75.28899999999999;24.862;24.161;26.266;False
2;Sten;78.78500000000001;24.972;26.949;26.864;False
3;Sten;77.093;26.161;26.747;24.185;False
4;Sten;73.863;23.655;23.284;26.924;False
5;Sten;75.366;26.061;25.492;23.813;False
6;Sten;73.318;23.684;23.413;26.221;False
7;Sten;179.01100000000002;53.517;81.438;44.056;True
8;Sten;74.743;23.511;26.404;24.828;False
9;Sten;77.384;24.985;25.669;26.73;False
10;Sten;76.771;26.914;24.543;25.314;False
